V1,V2,common_species_n
col,gbif,2783750
col,ncbi,0
col,itis,49061
col,tpl,800
col,wfo,16268
col,wikidata,133545
gbif,ncbi,0
gbif,itis,42543
gbif,tpl,1113
gbif,wfo,15847
gbif,wikidata,64883
ncbi,itis,0
ncbi,tpl,0
ncbi,wfo,0
ncbi,wikidata,1
itis,tpl,55714
itis,wfo,99139
itis,wikidata,518017
tpl,wfo,417795
tpl,wikidata,395324
wfo,wikidata,406195
col,col,3981745
gbif,gbif,6586625
ncbi,ncbi,8325
itis,itis,856953
tpl,tpl,591411
wfo,wfo,993359
wikidata,wikidata,2283988
